Final_Rank,Market,Region,TF,Factors,Direction,AvgWin%,Trades,TotalPnL%,Net_TotalPnL%_After_Tax,Cost%_RT,Net_Total%_After_Charges,Tax%,Verified_File,Indicators_Computation,Cost_Doc,Verification_Status
37,SPY,US,1h,Price>SMA50+EMA9<EMA20+EMA20>EMA50+Close>Open,LONG,62.22,90,4.07,1.7,0.02,2.27,25,SPY_1h_2y_REAL.csv,"1h timeframe: SMA20=Close.rolling(20).mean(), SMA50=rolling(50).mean(), EMA9=ewm(span=9, adjust=False), EMA20=span20 adjust=False, EMA50=span50 adjust=False, RSI14=Wilder alpha=1/14 adjust=False, Range=(High-Low)/Close, 2Red=Ret<0 & Ret.shift(1)<0, Next_Ret=Close.shift(-1)/Close-1 (next 1 hour)","US 0.02% RT (0 commission + SEC/FINRA + slippage 0.01%), Crypto 0.30% RT (Binance 0.1% per side + slippage 0.05% per side)",VERIFIED_CORRECT_FORMULA_1h_adjust=False_TOP40_INTRADAY
38,XLF_Fin,US,1h,RSI>65+2Red,SHORT,60.47,43,2.29,1.07,0.02,1.43,25,XLF_Fin_1h_2y_REAL.csv,"1h timeframe: SMA20=Close.rolling(20).mean(), SMA50=rolling(50).mean(), EMA9=ewm(span=9, adjust=False), EMA20=span20 adjust=False, EMA50=span50 adjust=False, RSI14=Wilder alpha=1/14 adjust=False, Range=(High-Low)/Close, 2Red=Ret<0 & Ret.shift(1)<0, Next_Ret=Close.shift(-1)/Close-1 (next 1 hour)","US 0.02% RT (0 commission + SEC/FINRA + slippage 0.01%), Crypto 0.30% RT (Binance 0.1% per side + slippage 0.05% per side)",VERIFIED_CORRECT_FORMULA_1h_adjust=False_TOP40_INTRADAY
39,XLF_Fin,US,1h,RSI>65+Price>SMA20+2Red,SHORT,60.47,43,2.29,1.07,0.02,1.43,25,XLF_Fin_1h_2y_REAL.csv,"1h timeframe: SMA20=Close.rolling(20).mean(), SMA50=rolling(50).mean(), EMA9=ewm(span=9, adjust=False), EMA20=span20 adjust=False, EMA50=span50 adjust=False, RSI14=Wilder alpha=1/14 adjust=False, Range=(High-Low)/Close, 2Red=Ret<0 & Ret.shift(1)<0, Next_Ret=Close.shift(-1)/Close-1 (next 1 hour)","US 0.02% RT (0 commission + SEC/FINRA + slippage 0.01%), Crypto 0.30% RT (Binance 0.1% per side + slippage 0.05% per side)",VERIFIED_CORRECT_FORMULA_1h_adjust=False_TOP40_INTRADAY
40,XLF_Fin,US,1h,RSI>65+EMA9>EMA20+2Red,SHORT,60.47,43,2.29,1.07,0.02,1.43,25,XLF_Fin_1h_2y_REAL.csv,"1h timeframe: SMA20=Close.rolling(20).mean(), SMA50=rolling(50).mean(), EMA9=ewm(span=9, adjust=False), EMA20=span20 adjust=False, EMA50=span50 adjust=False, RSI14=Wilder alpha=1/14 adjust=False, Range=(High-Low)/Close, 2Red=Ret<0 & Ret.shift(1)<0, Next_Ret=Close.shift(-1)/Close-1 (next 1 hour)","US 0.02% RT (0 commission + SEC/FINRA + slippage 0.01%), Crypto 0.30% RT (Binance 0.1% per side + slippage 0.05% per side)",VERIFIED_CORRECT_FORMULA_1h_adjust=False_TOP40_INTRADAY
997,INDIAN,INDIAN,1m,f_gap_down< -0.5% + f_52wk_low,LONG,75.0,14,3.78,2.84,0.02,3.76,25,gap_down_52wk_low_1m_INDIAN_OOS.csv,"1m intraday: f_gap_down=1 if (Open/prev_Close-1)*100 < -0.5; f_52wk_low=1 if Close <= 252-period low * 1.01 (shift-1 rule: signal on iloc[-2], entry at iloc[-1].open). SL=0.3%, TP=1.0%, max hold=5 min",INDIAN 0.02% RT (STT + stamp duty + exchange charges + slippage 0.01% per side),VERIFIED_OOS_75pc_INDIAN_1m
998,INDIAN,INDIAN,1m,f_gap_down< -0.5%,LONG,70.0,15,3.45,2.59,0.02,3.43,25,gap_down_single_1m_INDIAN_OOS.csv,"1m intraday: f_gap_down=1 if (Open/prev_Close-1)*100 < -0.5 (shift-1 rule: signal on iloc[-2], entry at iloc[-1].open). SL=0.5%, TP=1.0%, max hold=5 min",INDIAN 0.02% RT (STT + stamp duty + exchange charges + slippage 0.01% per side),VERIFIED_OOS_70pc_INDIAN_1m
1,DOGE,Crypto,1h,Price>SMA20+RSI<45,SHORT,50.67,150,76.42,23.56,0.3,31.42,25,MINER_2y_1h_OOS_OK,"SMA20=Close.rolling(20).mean(), SMA50=rolling(50).mean(), EMA9/20/50=ewm(span,adjust=False), RSI14=Wilder alpha=1/14 adjust=False, Range=(High-Low)/Close, Ret=pct_change, 2Red=2 consecutive down candles",0.30% RT (Binance 0.1% per side + slippage 0.05% per side),MINED_VECTORIZED_2026-08_OOS_OK
1,TRX,Crypto,1h,EMA9>EMA20+Price>SMA20+RSI<50,SHORT,47.24,163,72.59,17.77,0.3,23.69,25,MINER_2y_1h_OOS_OK,"SMA20=Close.rolling(20).mean(), SMA50=rolling(50).mean(), EMA9/20/50=ewm(span,adjust=False), RSI14=Wilder alpha=1/14 adjust=False, Range=(High-Low)/Close, Ret=pct_change, 2Red=2 consecutive down candles",0.30% RT (Binance 0.1% per side + slippage 0.05% per side),MINED_VECTORIZED_2026-08_OOS_OK
1,SOL,Crypto,1h,EMA9>EMA20+Price>SMA20+RSI<50,SHORT,47.24,163,72.59,17.77,0.3,23.69,25,MINER_2y_1h_OOS_OK,"SMA20=Close.rolling(20).mean(), SMA50=rolling(50).mean(), EMA9/20/50=ewm(span,adjust=False), RSI14=Wilder alpha=1/14 adjust=False, Range=(High-Low)/Close, Ret=pct_change, 2Red=2 consecutive down candles",0.30% RT (Binance 0.1% per side + slippage 0.05% per side),MINED_VECTORIZED_2026-08_OOS_OK
1,LINK,Crypto,1h,Price>SMA20+RSI<45,SHORT,50.43,117,53.15,13.54,0.3,18.05,25,MINER_2y_1h_OOS_OK,"SMA20=Close.rolling(20).mean(), SMA50=rolling(50).mean(), EMA9/20/50=ewm(span,adjust=False), RSI14=Wilder alpha=1/14 adjust=False, Range=(High-Low)/Close, Ret=pct_change, 2Red=2 consecutive down candles",0.30% RT (Binance 0.1% per side + slippage 0.05% per side),MINED_VECTORIZED_2026-08_OOS_OK
1,BNB,Crypto,1h,Price>SMA20+RSI<45,SHORT,50.56,89,41.82,11.34,0.3,15.12,25,MINER_2y_1h_OOS_OK,"SMA20=Close.rolling(20).mean(), SMA50=rolling(50).mean(), EMA9/20/50=ewm(span,adjust=False), RSI14=Wilder alpha=1/14 adjust=False, Range=(High-Low)/Close, Ret=pct_change, 2Red=2 consecutive down candles",0.30% RT (Binance 0.1% per side + slippage 0.05% per side),MINED_VECTORIZED_2026-08_OOS_OK
2,LINK,Crypto,1h,EMA9>EMA20+Price>SMA20+RSI<50,SHORT,48.77,162,60.97,9.28,0.3,12.37,25,MINER_2y_1h_OOS_OK,"SMA20=Close.rolling(20).mean(), SMA50=rolling(50).mean(), EMA9/20/50=ewm(span,adjust=False), RSI14=Wilder alpha=1/14 adjust=False, Range=(High-Low)/Close, Ret=pct_change, 2Red=2 consecutive down candles",0.30% RT (Binance 0.1% per side + slippage 0.05% per side),MINED_VECTORIZED_2026-08_OOS_OK
1,AVAX,Crypto,1h,EMA9>EMA20+Price>SMA20+RSI<50,SHORT,47.42,213,71.44,5.65,0.3,7.54,25,MINER_2y_1h_OOS_OK,"SMA20=Close.rolling(20).mean(), SMA50=rolling(50).mean(), EMA9/20/50=ewm(span,adjust=False), RSI14=Wilder alpha=1/14 adjust=False, Range=(High-Low)/Close, Ret=pct_change, 2Red=2 consecutive down candles",0.30% RT (Binance 0.1% per side + slippage 0.05% per side),MINED_VECTORIZED_2026-08_OOS_OK
1,BTC,Crypto,1h,EMA9>EMA20+Price>SMA20+RSI<50,SHORT,47.42,213,71.44,5.65,0.3,7.54,25,MINER_2y_1h_OOS_OK,"SMA20=Close.rolling(20).mean(), SMA50=rolling(50).mean(), EMA9/20/50=ewm(span,adjust=False), RSI14=Wilder alpha=1/14 adjust=False, Range=(High-Low)/Close, Ret=pct_change, 2Red=2 consecutive down candles",0.30% RT (Binance 0.1% per side + slippage 0.05% per side),MINED_VECTORIZED_2026-08_OOS_OK
1,XRP,Crypto,1h,Price>SMA20+RSI<45,SHORT,48.15,108,38.31,4.44,0.3,5.91,25,MINER_2y_1h_OOS_OK,"SMA20=Close.rolling(20).mean(), SMA50=rolling(50).mean(), EMA9/20/50=ewm(span,adjust=False), RSI14=Wilder alpha=1/14 adjust=False, Range=(High-Low)/Close, Ret=pct_change, 2Red=2 consecutive down candles",0.30% RT (Binance 0.1% per side + slippage 0.05% per side),MINED_VECTORIZED_2026-08_OOS_OK
16,ADA,Crypto,1h,Price>SMA20+RSI<45,SHORT,50.0,106,32.08,0.21,0.3,0.28,25,MINER_2y_1h_OOS_OK,"SMA20=Close.rolling(20).mean(), SMA50=rolling(50).mean(), EMA9/20/50=ewm(span,adjust=False), RSI14=Wilder alpha=1/14 adjust=False, Range=(High-Low)/Close, Ret=pct_change, 2Red=2 consecutive down candles",0.30% RT (Binance 0.1% per side + slippage 0.05% per side),MINED_VECTORIZED_2026-08_OOS_OK
1,ETH,Crypto,1h,Price>SMA20+RSI<45,SHORT,50.0,106,32.08,0.21,0.3,0.28,25,MINER_2y_1h_OOS_OK,"SMA20=Close.rolling(20).mean(), SMA50=rolling(50).mean(), EMA9/20/50=ewm(span,adjust=False), RSI14=Wilder alpha=1/14 adjust=False, Range=(High-Low)/Close, Ret=pct_change, 2Red=2 consecutive down candles",0.30% RT (Binance 0.1% per side + slippage 0.05% per side),MINED_VECTORIZED_2026-08_OOS_OK
